iter	Passed	Remaining
253	8230	24172
254	8258	24128
255	8287	24086
256	8314	24038
257	8372	24079
258	8406	24052
259	8442	24028
260	8470	23982
261	8494	23926
262	8518	23871
263	8543	23819
264	8567	23763
265	8592	23709
266	8621	23669
267	8660	23653
268	8688	23609
269	8719	23574
270	8746	23527
271	8778	23495
272	8804	23447
273	8832	23402
274	8858	23353
275	8883	23302
276	8915	23271
277	8965	23284
278	8993	23242
279	9022	23200
280	9052	23162
281	9081	23122
282	9121	23108
283	9170	23120
284	9201	23085
285	9226	23034
286	9289	23077
287	9312	23022
288	9362	23034
289	9383	22972
290	9418	22948
291	9451	22916
292	9470	22852
293	9493	22797
294	9519	22750
295	9566	22752
296	9597	22716
297	9619	22661
298	9644	22612
299	9668	22560
300	9698	22522
301	9722	22470
302	9745	22417
303	9775	22381
304	9799	22329
305	9835	22306
306	9858	22252
307	9897	22236
308	9944	22237
309	9964	22179
310	9988	22129
311	10010	22074
312	10032	22020
313	10057	21972
314	10087	21936
315	10114	21893
316	10143	21855
317	10174	21820
318	10205	21786
319	10239	21758
320	10272	21729
321	10295	21678
322	10319	21629
323	10350	21596
324	10379	21558
325	10406	21514
326	10434	21475
327	10461	21433
328	10489	21392
329	10529	21378
330	10553	21330
331	10575	21277
332	10610	21253
333	10639	21214
334	10666	21174
335	10690	21126
336	10715	21080
337	10740	21035
338	10771	21002
339	10799	20962
340	10826	20922
341	10857	20889
342	10907	20891
343	10939	20860
344	10970	20827
345	11014	20818
346	11041	20777
347	11077	20754
348	11108	20720
349	11133	20676
350	11157	20629
351	11182	20586
352	11209	20544
353	11244	20519
354	11270	20476
355	11299	20439
356	11323	20394
357	11369	20389
358	11393	20342
359	11419	20302
360	11444	20257
361	11467	20211
362	11501	20182
363	11527	20140
364	11552	20098
365	11577	20054
366	11602	20011
367	11624	19964
368	11645	19914
369	11667	19866
370	11689	19819
371	11715	19777
372	11740	19734
373	11801	19752
374	11852	19753
375	11872	19703
376	11905	19674
377	11925	19623
378	11950	19580
379	11971	19531
380	12003	19501
381	12034	19469
382	12057	19423
383	12079	19378
384	12114	19351
385	12135	19303
386	12174	19283
387	12204	19249
388	12224	19200
389	12242	19147
390	12260	19097
391	12280	19047
392	12313	19018
393	12330	18965
394	12358	18928
395	12391	18900
396	12410	18849
397	12427	18797
398	12446	18748
399	12464	18696
400	12483	18647
401	12501	18597
402	12521	18548
403	12540	18500
404	12575	18474
405	12597	18431
406	12623	18391
407	12642	18344
408	12660	18294
409	12683	18251
410	12717	18225
411	12747	18193
412	12778	18162
413	12802	18120
414	12825	18079
415	12871	18069
416	12916	18058
417	12935	18010
418	12953	17962
419	12978	17923
420	13011	17895
421	13035	17853
422	13058	17812
423	13083	17773
424	13106	17732
425	13127	17688
426	13147	17642
427	13169	17600
428	13192	17559
429	13217	17521
430	13241	17481
431	13275	17455
432	13297	17412
433	13316	17367
434	13350	17340
435	13372	17298
436	13392	17254
437	13443	17249
438	13466	17208
439	13489	17169
440	13510	17125
441	13537	17089
442	13559	17048
443	13584	17010
444	13613	16978
445	13639	16942
446	13663	16904
447	13689	16867
448	13715	16830
449	13753	16810
450	13777	16771
451	13825	16762
452	13858	16734
453	13893	16708
454	13916	16668
455	13940	16630
456	13977	16607
457	13997	16565
458	14022	16528
459	14046	16489
460	14075	16456
461	14102	16422
462	14126	16384
463	14146	16341
464	14187	16323
465	14209	16283
466	14230	16241
467	14252	16202
468	14277	16165
469	14302	16128
470	14328	16092
471	14349	16052
472	14371	16012
473	14398	15978
474	14418	15935
475	14443	15899
476	14467	15862
477	14490	15823
478	14516	15789
479	14542	15754
480	14572	15723
481	14604	15695
482	14629	15659
483	14661	15630
484	14688	15597
485	14724	15572
486	14755	15542
487	14792	15519
488	14817	15484
489	14846	15452
490	14871	15416
491	14917	15402
492	14945	15369
493	14971	15335
494	15011	15315
495	15043	15286
496	15073	15255
497	15096	15217
498	15127	15188
499	15151	15151
500	15226	15165
501	15249	15127
502	15307	15124
503	15329	15086
504	15353	15048
505	15374	15010
506	15394	14969
507	15417	14932
508	15442	14896
509	15467	14860
510	15489	14822
511	15514	14787
512	15540	14753
513	15564	14716
514	15584	14677
515	15605	14637
516	15625	14597
517	15645	14558
518	15667	14520
519	15689	14482
520	15711	14444
521	15741	14414
522	15765	14379
523	15789	14343
524	15818	14311
525	15852	14285
526	15874	14247
527	15894	14208
528	15922	14177
529	15943	14138
530	15967	14102
531	16018	14091
532	16043	14056
533	16065	14019
534	16093	13987
535	16125	13959
536	16148	13923
537	16172	13888
538	16195	13851
539	16219	13816
540	16243	13781
541	16279	13756
542	16310	13727
543	16335	13693
544	16359	13657
545	16385	13624
546	16410	13590
547	16448	13567
548	16479	13537
549	16502	13501
550	16537	13476
551	16561	13441
552	16586	13407
553	16614	13375
554	16646	13346
555	16675	13316
556	16718	13296
557	16768	13282
558	16820	13269
559	16845	13235
560	16869	13200
561	16891	13164
562	16920	13133
563	16941	13096
564	16967	13063
565	16990	13028
566	17011	12990
567	17057	12972
568	17081	12938
569	17111	12908
570	17133	12872
571	17179	12854
572	17200	12817
573	17219	12779
574	17240	12742
575	17263	12707
576	17283	12670
577	17306	12635
578	17345	12612
579	17365	12575
580	17385	12537
581	17418	12510
582	17438	12472
583	17466	12441
584	17490	12407
585	17511	12371
586	17541	12341
587	17560	12304
588	17580	12267
589	17629	12251
590	17658	12220
591	17680	12185
592	17705	12151
593	17727	12116
594	17750	12082
595	17772	12047
596	17795	12012
597	17816	11976
598	17844	11946
599	17874	11916
600	17897	11881
601	17926	11851
602	17957	11822
603	17990	11795
604	18019	11765
605	18057	11740
606	18082	11707
607	18106	11673
608	18139	11646
609	18165	11614
610	18187	11579
611	18209	11544
612	18230	11509
613	18275	11489
614	18306	11460
615	18331	11427
616	18360	11397
617	18387	11365
618	18408	11330
619	18429	11295
620	18454	11262
621	18474	11227
622	18511	11201
623	18541	11172
624	18563	11138
625	18590	11106
626	18617	11075
627	18642	11043
628	18678	11017
629	18699	10982
630	18743	10961
631	18767	10927
632	18790	10894
633	18813	10860
634	18851	10835
635	18881	10806
636	18910	10776
637	18938	10745
638	18961	10712
639	18990	10682
640	19014	10649
641	19038	10616
642	19061	10583
643	19087	10551
644	19109	10517
645	19130	10483
646	19153	10449
647	19175	10416
648	19197	10382
649	19220	10349
650	19245	10317
651	19269	10285
652	19294	10252
653	19318	10220
654	19342	10188
655	19371	10158
656	19392	10124
657	19417	10092
658	19440	10059
659	19465	10027
660	19485	9993
661	19506	9959
662	19526	9925
663	19556	9896
664	19585	9866
665	19609	9834
666	19631	9800
667	19656	9769
668	19681	9737
669	19702	9704
670	19727	9672
671	19751	9640
672	19803	9622
673	19827	9590
674	19850	9557
675	19876	9526
676	19906	9497
677	19931	9465
678	19969	9440
679	20011	9417
680	20032	9383
681	20070	9358
682	20120	9338
683	20142	9305
684	20165	9273
685	20212	9251
686	20232	9218
687	20252	9184
688	20272	9150
689	20294	9117
690	20315	9084
691	20350	9057
692	20381	9029
693	20401	8995
694	20420	8961
695	20441	8928
696	20494	8909
697	20513	8875
698	20531	8841
699	20554	8808
700	20577	8777
701	20607	8748
702	20626	8714
703	20647	8681
704	20669	8648
705	20703	8621
706	20725	8589
707	20745	8556
708	20768	8524
709	20791	8492
710	20812	8459
711	20835	8427
712	20856	8395
713	20879	8363
714	20906	8333
715	20929	8301
716	20952	8269
717	20974	8237
718	21032	8219
719	21055	8188
720	21077	8156
721	21101	8124
722	21123	8093
723	21154	8064
724	21178	8033
725	21218	8007
726	21262	7984
727	21293	7955
728	21313	7923
729	21341	7893
730	21371	7864
731	21414	7840
732	21436	7808
733	21461	7777
734	21481	7745
735	21511	7715
736	21531	7683
737	21551	7651
738	21573	7619
739	21603	7590
740	21623	7558
741	21647	7526
742	21668	7494
743	21702	7467
744	21724	7435
745	21758	7408
746	21781	7377
747	21805	7346
748	21826	7314
749	21848	7282
750	21873	7252
751	21900	7222
752	21928	7192
753	21951	7161
754	21972	7130
755	21991	7097
756	22010	7065
757	22032	7034
758	22052	7002
759	22075	6971
760	22112	6944
761	22146	6917
762	22172	6887
763	22202	6858
764	22226	6827
765	22250	6797
766	22274	6766
767	22312	6740
768	22346	6712
769	22371	6682
770	22407	6655
771	22432	6625
772	22454	6594
773	22475	6562
774	22495	6531
775	22520	6500
776	22579	6480
777	22603	6449
778	22636	6421
779	22656	6390
780	22679	6359
781	22699	6328
782	22728	6299
783	22753	6268
784	22794	6243
785	22815	6211
786	22867	6189
787	22891	6158
788	22917	6128
789	22941	6098
790	22969	6069
791	22996	6039
792	23026	6010
793	23049	5980
794	23075	5950
795	23101	5920
796	23153	5897
797	23178	5867
798	23229	5843
799	23253	5813
800	23273	5782
801	23293	5750
802	23335	5724
803	23355	5693
804	23375	5662
805	23397	5631
806	23421	5601
807	23443	5570
808	23464	5539
809	23505	5513
810	23524	5482
811	23556	5453
812	23608	5430
813	23629	5399
814	23646	5367
815	23664	5336
816	23682	5304
817	23700	5273
818	23718	5241
819	23737	5210
820	23781	5185
821	23800	5153
822	23823	5123
823	23846	5093
824	23872	5063
825	23894	5033
826	23916	5003
827	23939	4972
828	23959	4942
829	23980	4911
830	24004	4881
831	24032	4852
832	24060	4823
833	24087	4794
834	24111	4764
835	24149	4737
836	24175	4707
837	24204	4679
838	24228	4649
839	24252	4619
840	24274	4589
841	24298	4559
842	24321	4529
843	24378	4506
844	24408	4477
845	24439	4448
846	24464	4419
847	24495	4390
848	24522	4361
849	24548	4332
850	24575	4302
851	24602	4273
852	24629	4244
853	24657	4215
854	24687	4186
855	24713	4157
856	24740	4128
857	24770	4099
858	24800	4070
859	24834	4042
860	24890	4018
861	24920	3989
862	24952	3961
863	24982	3932
864	25012	3903
865	25039	3874
866	25070	3845
867	25100	3817
868	25128	3788
869	25152	3758
870	25175	3728
871	25205	3699
872	25228	3670
873	25250	3640
874	25281	3611
875	25307	3582
876	25330	3552
877	25351	3522
878	25387	3494
879	25408	3464
880	25431	3435
881	25453	3405
882	25476	3375
883	25498	3346
884	25524	3316
885	25545	3286
886	25567	3257
887	25601	3229
888	25624	3199
889	25650	3170
890	25680	3141
891	25704	3112
892	25738	3084
893	25766	3055
894	25796	3026
895	25825	2997
896	25850	2968
897	25878	2939
898	25904	2910
899	25941	2882
900	25965	2853
901	25996	2824
902	26030	2796
903	26054	2766
904	26095	2739
905	26117	2709
906	26155	2681
907	26179	2652
908	26203	2623
909	26244	2595
910	26271	2566
911	26297	2537
912	26334	2509
913	26353	2479
914	26372	2449
915	26408	2421
916	26430	2392
917	26453	2362
918	26474	2333
919	26493	2303
920	26514	2274
921	26541	2245
922	26566	2216
923	26586	2186
924	26610	2157
925	26639	2128
926	26665	2099
927	26692	2070
928	26718	2042
929	26743	2012
930	26772	1984
931	26798	1955
932	26823	1926
933	26850	1897
934	26875	1868
935	26898	1839
936	26922	1810
937	26948	1781
938	26973	1752
939	27023	1724
940	27052	1696
941	27081	1667
942	27109	1638
943	27135	1609
944	27169	1581
945	27200	1552
946	27233	1524
947	27266	1495
948	27298	1467
949	27329	1438
950	27359	1409
951	27389	1380
952	27425	1352
953	27458	1323
954	27491	1295
955	27527	1266
956	27563	1238
957	27598	1209
958	27630	1181
959	27667	1152
960	27701	1124
961	27731	1095
962	27776	1067
963	27815	1038
964	27856	1010
965	27889	981
966	27921	952
967	27956	924
968	27994	895
969	28034	867
970	28075	838
971	28109	809
972	28149	781
973	28221	753
974	28264	724
975	28318	696
976	28353	667
977	28387	638
978	28420	609
979	28459	580
980	28499	551
981	28536	523
982	28573	494
983	28610	465
984	28648	436
985	28686	407
986	28738	378
987	28785	349
988	28821	320
989	28861	291
990	28906	262
991	28947	233
992	28977	204
993	29008	175
994	29041	145
995	29070	116
996	29100	87
997	29134	58
998	29165	29
999	29200	0
