iter	Logloss
0	0.6555890338
1	0.6212600935
2	0.59248075
3	0.5685010943
4	0.5501813661
5	0.5369794018
6	0.5245668935
7	0.513193684
8	0.5026571234
9	0.4957669492
10	0.4899358244
11	0.4828925116
12	0.4776561334
13	0.4738758921
14	0.4692206977
15	0.4667340109
16	0.4632604347
17	0.460263863
18	0.4587901992
19	0.4568187446
20	0.4549072321
21	0.4532985299
22	0.4518145836
23	0.4509644253
24	0.4504863866
25	0.4497341436
26	0.4487150164
27	0.4477784711
28	0.4469541516
29	0.4465935711
30	0.4461438207
31	0.4457592985
32	0.445066254
33	0.4447558683
34	0.444354852
35	0.4438869803
36	0.4434769491
37	0.4432760888
38	0.4430968931
39	0.4429654794
40	0.4426215674
41	0.4424355733
42	0.4423022433
43	0.4421092871
44	0.4419596297
45	0.4418085938
46	0.4415280439
47	0.4412890017
48	0.4411035715
49	0.4409709798
50	0.4407758931
51	0.4406932243
52	0.4404787112
53	0.4403422867
54	0.4402459664
55	0.440177046
56	0.4401211763
57	0.4399372446
58	0.4397739189
59	0.4396847407
60	0.4395817343
61	0.4394651016
62	0.4394074501
63	0.4392347467
64	0.4390811051
65	0.4390173224
66	0.438937116
67	0.4388784052
68	0.4387895535
69	0.4387012219
70	0.4385759976
71	0.4384814686
72	0.4384009431
73	0.4383357296
74	0.4382546521
75	0.4381540049
76	0.4380426756
77	0.4379903705
78	0.4379367632
79	0.4378725292
80	0.4378060073
81	0.4376680456
82	0.4375815835
83	0.437366881
84	0.4372998969
85	0.4372352042
86	0.4371359348
87	0.437071822
88	0.4370175051
89	0.436944628
90	0.43686547
91	0.4368305341
92	0.4367666298
93	0.4367254104
94	0.4366803298
95	0.4365734816
96	0.4365149405
97	0.4364859844
98	0.4363504426
99	0.4363088636
100	0.436235837
101	0.4361636751
102	0.4360699044
103	0.4360103839
104	0.4359472737
105	0.4358910286
106	0.4358634066
107	0.4358253649
108	0.4357686948
109	0.4357078645
110	0.4355737761
111	0.4355006416
112	0.4354586326
113	0.4354004828
114	0.4353377888
115	0.4352826357
116	0.4352444097
117	0.4352056111
118	0.4351088404
119	0.4350540831
120	0.4350126079
121	0.4349639633
122	0.4349181364
123	0.4348811906
124	0.4348398828
125	0.4347837643
126	0.4347355165
127	0.4346844233
128	0.4346448621
129	0.4345729709
130	0.4345168107
131	0.4344569787
132	0.4343953061
133	0.4343568615
134	0.4342821625
135	0.4342181188
136	0.4341361054
137	0.4340489482
138	0.4339935811
139	0.4339544361
140	0.4339073749
141	0.4337861527
142	0.4337140209
143	0.4336573395
144	0.4335962229
145	0.4335267453
146	0.4334704382
147	0.4334000195
148	0.4333408954
149	0.4332259995
150	0.433196288
151	0.4331443761
152	0.4330858761
153	0.4330314039
154	0.4329595428
155	0.4329036807
156	0.4328647362
157	0.4328189303
158	0.4327917324
159	0.4327636526
160	0.4327311956
161	0.43264891
162	0.4325374508
163	0.4324469523
164	0.4323908318
165	0.4322915201
166	0.4322459657
167	0.4321919709
168	0.4321395828
169	0.4320312567
170	0.4319655007
171	0.4319109149
172	0.4318556748
173	0.4318005755
174	0.4317289065
175	0.4316627986
176	0.4316190521
177	0.4315744684
178	0.4314394149
179	0.4313802078
180	0.4313192651
181	0.4312314482
182	0.4312067515
183	0.4311350306
184	0.4311050444
185	0.4310628363
186	0.4309634943
187	0.4308985472
188	0.4307833167
189	0.4307259042
190	0.4306003543
191	0.4305016236
192	0.4304406207
193	0.4303250064
194	0.4302362642
195	0.4301692603
196	0.4301210104
197	0.4300198591
198	0.4299185765
199	0.4298464054
200	0.4297750518
201	0.429703612
202	0.4296338255
203	0.4295653049
204	0.4295044592
205	0.4294073538
206	0.4293185627
207	0.4292580607
208	0.429206129
209	0.4291088391
210	0.4290439833
211	0.4289427013
212	0.4289109491
213	0.4288535725
214	0.4287711759
215	0.4287068446
216	0.4286635845
217	0.4285939072
218	0.4285289426
219	0.4284775873
220	0.4284005688
221	0.4283304977
222	0.4282876635
223	0.4282267554
224	0.4281643436
225	0.4280837995
226	0.4280248654
227	0.4279689893
228	0.4279033701
229	0.4278294455
230	0.4277656369
231	0.4277068858
232	0.427630353
233	0.42756373
234	0.4274749449
235	0.4274075639
236	0.4273340021
237	0.4272892716
238	0.4272424839
239	0.4271774785
240	0.4271233264
241	0.427077575
242	0.4270083955
243	0.4269490666
244	0.4268671646
245	0.4268250166
246	0.4267819702
247	0.4267473831
248	0.4266769772
249	0.4266279429
250	0.4265478886
251	0.4265200604
252	0.4264578778
253	0.4264219136
254	0.4263284874
255	0.4262500298
256	0.4261833185
257	0.4261418156
258	0.4260598578
259	0.4260045413
260	0.4259460321
261	0.425894711
262	0.4258217071
263	0.4257633093
264	0.4256954205
265	0.4256098181
266	0.4255468968
267	0.4254988404
268	0.4254297466
269	0.4253714577
270	0.4253247284
271	0.4253007557
272	0.4252381801
273	0.4251884219
274	0.4251449811
275	0.4250992218
276	0.425062439
277	0.4250013568
278	0.4249361303
279	0.4248690042
280	0.4248086991
281	0.4247471021
282	0.4246863435
283	0.4246462614
284	0.4245953168
285	0.4245407804
286	0.424523935
287	0.4244717351
288	0.4244201386
289	0.4243667095
290	0.4242989883
291	0.4242168002
292	0.4241679854
293	0.4241125849
294	0.424060972
295	0.4240203395
296	0.4239572906
297	0.4239104919
298	0.4238412462
299	0.4237651855
300	0.4237227116
301	0.4236732071
302	0.4236377352
303	0.4235857925
304	0.4235351238
305	0.4234688767
306	0.4234283844
307	0.4233781066
308	0.423332168
309	0.4233198496
310	0.4232612755
311	0.4232313585
312	0.4231741427
313	0.4231093296
